2015-02-03 20:36:03,182 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber1.plans.json
2015-02-03 20:36:03,466 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber2.plans.json
2015-02-03 20:36:03,555 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber3.plans.json
2015-02-03 20:36:03,644 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber4.plans.json
2015-02-03 20:36:03,680 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-diamond-mine.plans.json
2015-02-03 20:36:03,714 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-gold-mine.plans.json
2015-02-03 20:36:03,743 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-iron-mine.plans.json
2015-02-03 20:36:03,768 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-diamond-mine.plans.json
2015-02-03 20:36:03,791 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-emerald-mine.plans.json
2015-02-03 20:36:03,814 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-gold-mine.plans.json
2015-02-03 20:36:03,836 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\small-iron-mine.plans.json
2015-02-03 20:36:03,888 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\contest-ship1.plans.json
2015-02-03 20:36:03,918 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\dingy.plans.json
2015-02-03 20:36:03,940 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship1.plans.json
2015-02-03 20:36:03,965 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship2.plans.json
2015-02-03 20:36:03,995 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship1.plans.json
2015-02-03 20:36:04,034 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship2.plans.json
2015-02-03 20:36:04,064 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well1.plans.json
2015-02-03 20:36:04,083 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well2.plans.json
2015-02-03 20:36:04,104 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\chest\well-chest1.plans.json
2015-02-03 20:36:04,128 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\forest\well-mycelium.plans.json
2015-02-03 20:36:04,145 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\birch-house.plans.json
2015-02-03 20:36:04,164 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin.plans.json
2015-02-03 20:36:04,181 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin2.plans.json
2015-02-03 20:36:04,197 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\townhouse1.plans.json
2015-02-03 20:38:39,602 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber1.plans.json
2015-02-03 20:38:39,745 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber2.plans.json
2015-02-03 20:38:39,772 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber3.plans.json
2015-02-03 20:38:39,791 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber4.plans.json
2015-02-03 20:38:39,809 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-diamond-mine.plans.json
2015-02-03 20:38:39,827 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-gold-mine.plans.json
2015-02-03 20:38:39,841 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\mines\medium-iron-mine.plans.json
